Type,PPL,Burstiness
Original,16.974626541137695,12.90891165048394
Round 5,20.61665916442871,7.027642214999339
Single-Shot,25.68600845336914,6.615134163416491
Original,7.971007823944092,4.893936787898943
Round 5,21.73085594177246,9.26312882106017
Single-Shot,15.322117805480957,3.9471821485181358
Original,6.702016830444336,5.075757441945729
Round 5,18.775409698486328,4.7984050848198185
Single-Shot,14.673638343811035,3.395421754199159
Original,12.994954109191895,2.6381811916545836
Round 5,30.84427833557129,7.2264944628929335
Single-Shot,22.198816299438477,5.744562646538029
Original,16.09148597717285,5.932958789676531
Round 5,16.33767318725586,7.871467461661771
Single-Shot,13.223310470581055,5.127377497317708
Original,6.251957893371582,4.919349550499537
Round 5,12.762062072753906,6.395494019229476
Single-Shot,7.31612491607666,6.171709649683789
Original,21.411922454833984,8.668790515065112
Round 5,18.647491455078125,7.239475119095307
Single-Shot,17.955890655517578,7.8943642970362715
Original,7.984285831451416,8.328265125462805
Round 5,18.774381637573242,8.818350957490152
Single-Shot,11.776495933532715,7.7618885318102135
Original,10.016708374023438,8.793937305515279
Round 5,19.947046279907227,7.444560940935723
Single-Shot,16.247732162475586,6.4815121692395214
Original,10.115662574768066,7.7530236037303535
Round 5,15.933648109436035,6.565625485551923
Single-Shot,17.19706153869629,4.846067993745032
